car_id,price(USD)
0,5504.734305
1,2237.218851
2,3100.865504
3,2853.717281
4,2570.52655
5,2551.533552
6,8690.752467
7,3996.887403
8,3746.262655
9,6017.866554
10,4690.952289
11,6028.022444
12,7340.559898
13,6530.277824
14,4015.222783
15,3165.753659
16,6382.739106
17,6353.992469
18,7268.818287
19,4666.502725
20,3428.356949
21,3852.097406
22,1873.189813
23,3788.736643
24,5104.225121
25,7275.539071
26,4257.228808
27,2900.726919
28,6450.574852
29,5600.021711
30,4159.060932
31,6678.803594
32,5919.079192
33,5155.458012
34,5302.848773
35,6374.423948
36,6035.764914
37,2539.092983
38,9051.782769
39,7858.301262
40,6054.934577
41,2417.37852
42,9206.434399
43,11896.08181
44,7173.65363
45,11765.84831
46,11370.36191
47,7259.90477
48,8902.073161
49,15280.36339
50,7624.728849
51,6490.233326
52,12905.6125
53,12397.7158
54,3334.283995
55,5303.173344
56,5532.817974
57,5006.986732
58,3198.544579
59,6939.38188
60,7075.411217
61,4613.06428
62,5135.279585
63,7721.189888
64,6324.513085
65,6031.762234
66,6243.466624
67,4542.60445
68,7623.016364
69,4530.795701
70,4516.978035
71,19967.11839
72,5982.374573
73,3760.983155
74,7408.119811
75,4978.270732
76,7223.409419
77,6575.683679
78,8341.11634
79,7949.815488
80,5707.682551
81,6246.058001
82,8379.145427
83,8248.95064
84,6999.758849
85,8400.566444
86,4888.390302
87,6446.469802
88,5171.888481
89,9561.699414
90,4737.95153
91,7871.147578
92,5174.03797
93,6907.99064
94,9812.011472
95,3641.372651
96,3722.740558
97,7036.959339
98,8337.663583
99,4570.188685
100,6605.121138
101,9796.324409
102,11710.50377
103,5686.7714
104,5007.56985
105,9860.478826
106,5880.17186
107,5472.208273
108,10000.84721
109,10373.73927
110,7465.34434
111,4338.482894
112,8265.280892
113,12528.69316
114,4552.591743
115,3575.597804
116,9719.681138
117,3760.983155
118,9453.650463
119,10205.37944
120,6764.866191
121,3575.525217
122,4180.806774
123,7116.600742
124,5272.270712
125,7694.50492
126,8296.730492
127,5455.454758
128,5294.577665
129,6862.5045
130,5808.741863
131,7241.876694
132,8812.066248
133,4076.676817
134,4461.366138
135,8056.850975
136,2406.072771
137,1791.50936
138,1890.818923
139,1563.180894
140,3318.221646
141,1510.827743
142,1603.239238
143,619.9222391
144,1174.730066
145,1374.006758
146,1351.46315
147,1497.921607
148,1912.226976
149,4390.958154
150,2034.018218
151,4034.496281
152,1377.797936
153,2308.640602
154,2535.508204
155,679.0350827
156,4787.392396
157,537.7467259
158,2485.041291
159,2292.181856
160,4581.029718
161,1053.801406
162,2031.840726
163,4650.044302
164,-2410.230019
165,1849.797319
166,1289.299962
167,1836.303638
168,1725.085837
169,1766.990521
170,2332.370861
171,2291.241088
172,4146.042003
173,4397.171272
174,5591.306566
175,5879.989739
176,4938.08798
177,5762.587721
178,6029.339852
179,6198.467755
180,-4963.843272
181,7433.842194
182,6736.589479
183,4500.657295
184,6046.914962
185,7310.93193
186,5266.094499
187,4825.291906
188,5449.441941
189,5179.931505
190,798.5914278
191,1797.716851
192,2230.714952
193,-562.3171078
194,6216.927624
195,2562.39776
196,5021.750252
197,5822.751771
198,6103.383081
199,5274.721989
200,6218.437834
201,5950.219916
202,3798.771565
203,5777.563089
204,-1420.189431
205,2132.129054
206,8707.260753
207,7856.306978
208,6944.847523
209,4249.406429
210,5070.268756
